Features;Accuracy
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 24];73.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 25];71.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 26];73.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 29];73.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 30];74.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 31];73.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 32];71.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 37];74.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 38];72.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 40];72.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 1];71.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3];74.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 5];74.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 6];73.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 11];73.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 12];73.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 13];70.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 15];73.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 16];72.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 17];71.89999999999999
